objectid,nombre,direccion,tipozona,no2,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid
21,Olivereta,OLIVERETA,Urbana,36.0,26.0,12.0,Tráfico,2025-10-20 16:00:00+00:00,Razonablemente Buena,A10_OLIVERETA_60m
17,Universidad Politécnica,POLITÈCNIC,Suburbana,10.0,16.0,8.0,Fondo,2025-10-20 16:00:00+00:00,Razonablemente Buena,A05_POLITECNIC_60m
18,Viveros,VIVERS,Urbana,14.0,,,Fondo,2025-10-20 16:00:00+00:00,Razonablemente Buena,A06_VIVERS_60m
19,Centro,VALÈNCIA CENTRE,Urbana,22.0,24.0,10.0,Tráfico,2025-10-20 16:00:00+00:00,Razonablemente Buena,A07_VALENCIACENTRE_60m
20,Cabanyal,CABANYAL,Urbana,12.0,19.0,9.0,Fondo,2025-10-20 16:00:00+00:00,Buena,A09_CABANYAL_60m
13,Francia,AVDA.FRANCIA,Urbana,19.0,28.0,10.0,Tráfico,2025-10-20 16:00:00+00:00,Razonablemente Buena,A01_AVFRANCIA_60m
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,13.0,18.0,9.0,Tráfico,2025-10-20 16:00:00+00:00,Razonablemente Buena,A03_MOLISOL_60m
16,Pista de Silla,PISTA DE SILLA,Urbana,19.0,27.0,12.0,Tráfico,2025-10-20 16:00:00+00:00,Razonablemente Buena,A04_PISTASILLA_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,25.0,,,Tráfico,2025-10-20 16:00:00+00:00,Razonablemente Buena,A02_BULEVARDSUD_60m
21,Olivereta,OLIVERETA,Urbana,36.0,26.0,13.0,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A10_OLIVERETA_60m
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,32.0,18.0,9.0,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A03_MOLISOL_60m
16,Pista de Silla,PISTA DE SILLA,Urbana,22.0,27.0,12.0,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A04_PISTASILLA_60m
12,Dr. Lluch,DR.LLUCH,Urbana,37.0,29.0,12.0,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A08_DR_LLUCH_60m
13,Francia,AVDA.FRANCIA,Urbana,18.0,29.0,10.0,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A01_AVFRANCIA_60m
19,Centro,VALÈNCIA CENTRE,Urbana,32.0,24.0,10.0,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A07_VALENCIACENTRE_60m
20,Cabanyal,CABANYAL,Urbana,14.0,19.0,9.0,Fondo,2025-10-20 17:00:00+00:00,Buena,A09_CABANYAL_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,33.0,,,Tráfico,2025-10-20 17:00:00+00:00,Razonablemente Buena,A02_BULEVARDSUD_60m
17,Universidad Politécnica,POLITÈCNIC,Suburbana,15.0,16.0,8.0,Fondo,2025-10-20 17:00:00+00:00,Razonablemente Buena,A05_POLITECNIC_60m
14,Boulevar Sur,BULEVARD SUD,Urbana,42.0,,,Tráfico,2025-10-20 18:00:00+00:00,Razonablemente Buena,A02_BULEVARDSUD_60m
21,Olivereta,OLIVERETA,Urbana,36.0,27.0,13.0,Tráfico,2025-10-20 18:00:00+00:00,Razonablemente Buena,A10_OLIVERETA_60m
17,Universidad Politécnica,POLITÈCNIC,Suburbana,12.0,16.0,8.0,Fondo,2025-10-20 18:00:00+00:00,Razonablemente Buena,A05_POLITECNIC_60m
12,Dr. Lluch,DR.LLUCH,Urbana,25.0,29.0,12.0,Tráfico,2025-10-20 18:00:00+00:00,Razonablemente Buena,A08_DR_LLUCH_60m
20,Cabanyal,CABANYAL,Urbana,14.0,20.0,9.0,Fondo,2025-10-20 18:00:00+00:00,Buena,A09_CABANYAL_60m
13,Francia,AVDA.FRANCIA,Urbana,15.0,29.0,10.0,Tráfico,2025-10-20 18:00:00+00:00,Razonablemente Buena,A01_AVFRANCIA_60m
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,34.0,19.0,9.0,Tráfico,2025-10-20 18:00:00+00:00,Razonablemente Buena,A03_MOLISOL_60m
18,Viveros,VIVERS,Urbana,31.0,,,Fondo,2025-10-20 18:00:00+00:00,Buena,A06_VIVERS_60m
19,Centro,VALÈNCIA CENTRE,Urbana,39.0,24.0,10.0,Tráfico,2025-10-20 18:00:00+00:00,Razonablemente Buena,A07_VALENCIACENTRE_60m
